"spp","disp","r2_conditional","r2_marginal","beta_yr","se_yr","p_yr","status","park","breeding.biome","winter.biome","family","bird.group","AI","migrate","native","body.mass","trophic.level","trophic.niche","habitat","habitat.density"
"GWGU",-0.930264783267011,0.688944241728359,0.00336567302850462,0.057156901267724,0.0558631182023837,0.306232259106887,"Apparantly stable","Carkeek Park","Coasts","Coastal","Laridae","waterbird","other","M","native",1056.5,"Carnivore","Aquatic predator","Coastal",3
"HAWO",-1.03223976268176,0.475284994261089,0.278705887563024,0.40046371014113,0.1403739762814,0.00433311939149878,"Increasing","Carkeek Park","Forest Generalist","Temperate North America","Picidae","landbird","other","R","native",62.7,"Carnivore","Invertivore","Forest",1
"HETH",-1.20521987297209,0.457262973586247,0.0290452994305884,0.127114484558028,0.288786667260866,0.659815848777364,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",30.1,"Omnivore","Invertivore","Forest",1
"HOFI",-1.05545068594835,0.716172535381305,0.00230110648476701,-0.0494758183648294,0.119546555435442,0.678974918439955,"Apparantly stable","Carkeek Park","Habitat Generalist","Widespread","Fringillidae","landbird","other","R","native",21.4,"Herbivore","Granivore","Shrubland",2
"HOGR",-1.94593925907847,0.996688742828214,0.00719844092889599,-0.810167101511121,0.448595632754101,0.0709171596072447,"Apparantly stable","Carkeek Park","Wetland","Temperate North America","Podicipedidae","waterbird","other","M","native",453,"Carnivore","Aquatic predator","Wetland",3
"HOSP",-0.923985447986145,0.986623603067117,0.229700303563363,-2.27700009095735,0.720060330530733,0.00156563078532138,"Decreasing","Carkeek Park","Introduced","Introduced","Passeridae","other","other","Introduced","Introduced",26.5,"Herbivore","Granivore","Human Modified",3
"HUVI",-1.26466778247778,0.787723416968796,0.0470185973992218,0.258604232084697,0.148473657411536,0.0815519171032434,"Apparantly stable","Carkeek Park","Western Forest","Temperate North America","Vireonidae","landbird","other","R","native",11.3,"Carnivore","Invertivore","Forest",1
"MALL",-1.53782548707177,0.973152002480318,0.0417047940599204,0.684839620858119,0.137447504226493,6.27504499504206e-07,"Apparantly stable","Carkeek Park","Wetland","Widespread","Anatidae","waterfowl","other","M","native",843.4,"Herbivore","Herbivore aquatic","Wetland",3
"MERL",-1.05602596092246,NA,0.126987816946889,-0.209566911797255,0.26674532685762,0.432075977813822,"Apparantly stable","Carkeek Park","Habitat Generalist","Widespread","Falconidae","landbird","other","M","native",188.5,"Carnivore","Vertivore","Woodland",3
"NA",-1.8749415139658,0.990775089213212,0.00976573684911721,0.56535763100352,0.399631963962683,0.157157728345723,"Apparantly stable","Carkeek Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
