"","source","park","species","beta_yr","se_yr","p_yr","r2","disp"
"181","Genesee Park","Genesee Park","COGO",-0.149836899718117,0.221780202104304,0.499288355567799,0.000231689274936091,0.178381950805067
"182","Genesee Park","Genesee Park","COME",-0.0455790147174564,0.16404480023368,0.781131405557164,1.75630882749589e-05,0.285919500792636
"183","Genesee Park","Genesee Park","DCCO",0.445424501878562,0.122889395609573,0.000289412683321308,0.0190209515510242,0.549754960893773
"184","Genesee Park","Genesee Park","DEJU",0.738081872139017,0.225613957475706,0.00107002385896809,0.161740222218151,0.876562393623933
"185","Genesee Park","Genesee Park","DOWO",-0.174263458483233,0.292165962004111,0.550872199727375,0.00769367699898277,3.25230565383256
"186","Genesee Park","Genesee Park","EUST",-0.510990694283382,0.136180584344694,0.000175218129498805,0.238947714299186,0.831654955622902
"187","Genesee Park","Genesee Park","GADW",-0.173857688437822,0.13277704251255,0.190400347513085,0.00641071591746082,0.403857505725153
"188","Genesee Park","Genesee Park","GBHE",0.0159623524655527,0.182941843846611,0.930469856927629,4.7383904864064e-05,0.743670015441968
"189","Genesee Park","Genesee Park","GCKI",0.792640490537422,0.356491987847719,0.0261857774498649,0.11814055574134,1.05715348186173
"190","Genesee Park","Genesee Park","GCSP",0.466859091007612,0.340659976068344,0.170544983436316,0.0559297439624489,0.788491569044909
"191","Genesee Park","Genesee Park","GWGU",0.296658010368455,0.093765636384382,0.00155710701101297,0.0222224103970373,0.43155360133296
"192","Genesee Park","Genesee Park","HOFI",0.577362093627883,0.160516776314837,0.000322037604351136,0.111611903011463,1.53758126090151
"193","Genesee Park","Genesee Park","HOGR",0.0846453437792307,0.50855752977731,0.867809106013614,7.48446158459132e-05,0.241691575302803
"194","Genesee Park","Genesee Park","HOME",-0.759550887013954,0.207152841083477,0.000245776974406827,0.00548438987387598,0.201594910991133
"195","Genesee Park","Genesee Park","HOSP",-1.32264507944595,0.34295865329956,0.000114987773298078,NA,0.8249526454508
"196","Genesee Park","Genesee Park","LESC",-1.33002338745221,0.350030388354891,0.000144849779294731,0.0176343742459905,0.155714164429354
"197","Genesee Park","Genesee Park","MALL",0.474077893207859,0.0992325583548784,1.77538336546326e-06,0.0376067183003512,0.75097761442366
"198","Genesee Park","Genesee Park","NOFL",-0.174429644011813,0.101452563437384,0.085555720799833,0.00764169306874376,0.811900333671579
"199","Genesee Park","Genesee Park","OSPR",0.1300559069756,0.199153072044609,0.513727303658506,0.00346127434686026,0.616714062718811
"200","Genesee Park","Genesee Park","PBGR",-0.446447975463946,0.273968515568498,0.103194646749789,0.00237919753066702,0.174905035420328
"201","Genesee Park","Genesee Park","RBGU",-0.392638472762222,0.135914716708918,0.00386642219043467,0.0255221528989105,0.697839175768716
"202","Genesee Park","Genesee Park","RCKI",0.250931982747172,0.195032037176788,0.198227014053057,0.0100727626637454,0.936787462541902
"203","Genesee Park","Genesee Park","RNDU",-0.275416728738186,0.0967198480875158,0.00440541313059237,0.000509974025330195,0.18955567970806
"204","Genesee Park","Genesee Park","ROPI",-0.13630218179105,0.184769178993315,0.460703487974926,0.0129914873134923,0.882743059141571
"205","Genesee Park","Genesee Park","SAVS",-0.554408056919727,0.133683478672588,3.3661073836876e-05,0.0741516907919452,0.861940495138091
"206","Genesee Park","Genesee Park","SBIG",-0.553944856422053,0.159006545339986,0.000494373678407394,0.0995239135185845,0.805909309444041
"207","Genesee Park","Genesee Park","SOSP",0.623538064786743,0.0747486154279317,7.3167593630581e-17,0.0920576249250511,0.923452804183206
"208","Genesee Park","Genesee Park","SPTO",0.560376046448315,0.198988064058532,0.00486061542357806,0.0513674974983717,0.56212626395667
