"","spp","disp","r2","beta_yr","se_yr","p_yr","park"
"507","BUFF","-0.461732408067031","0.00779705157197597","-0.0700497111443165","0.0789831621722204","0.375135846086621","Seward Park"
"508","BUSH","-0.418245989749858","0.128480405411463","-0.429286701748595","0.122312909871861","0.000448542446253871","Seward Park"
"509","CANG","2.27069354271042","5.91653899317812e-07","-0.000790356356592888","0.0883833846197084","0.992865121281738","Seward Park"
"510","CATE","-0.598861498881293","0.10097584439152","0.630636000618818","0.33250608987017","0.0578787841156039","Seward Park"
"511","CBCH","10.4232265920461","0.150676309516794","0.301673888344232","0.0401079480411128","5.41311163571304e-14","Seward Park"
"512","CEDW","-1.15868655815617","0.00744895119364652","-0.108412737035928","0.163368543936727","0.506940983617953","Seward Park"
"513","COGO","0.252573590485043","0.0165169279608033","-0.152836576144075","0.120641440557492","0.205203098359776","Seward Park"
"514","COHA","-1.16978733840704","0.00433054434746682","-0.102763674121595","0.22722638648341","0.651087177181474","Seward Park"
"515","COLO","-0.431636515749637","0.0332169429444529","-0.338880023455528","0.280030446489163","0.226219725299022","Seward Park"
"516","COME","-0.540167076947725","0.047103556507345","-0.169269432966152","0.077763376484348","0.0295011424495426","Seward Park"
"517","DCCO","-0.270622838268643","0.0032399795786836","-0.04524526571702","0.0763143876156918","0.553261537425566","Seward Park"
"518","DEJU","6.66542766288416","0.551544001268761","0.822501469249051","0.0507308208240384","4.0779954586175e-59","Seward Park"
